year,country,country_code,data_categories,element,score,income_group,gni_pc,Median scores by income group,gni_logged,gni text
2022,Liberia,LBR,All Categories,Overall score,38.5,Low income,630,38.5,6.4457198193855785,GNI per capita (US$) is 630
2022,Madagascar,MDG,All Categories,Overall score,33.3,Low income,490,38.5,6.194405391104672,GNI per capita (US$) is 490
2022,Malawi,MWI,All Categories,Overall score,38.5,Low income,620,38.5,6.429719478039138,GNI per capita (US$) is 620
2022,Mali,MLI,All Categories,Overall score,38.6,Low income,820,38.5,6.709304340258298,GNI per capita (US$) is 820
2022,Mozambique,MOZ,All Categories,Overall score,36.2,Low income,480,38.5,6.173786103901937,GNI per capita (US$) is 480
2022,Niger,NER,All Categories,Overall score,35.7,Low income,590,38.5,6.380122536899765,GNI per capita (US$) is 590
2022,Rwanda,RWA,All Categories,Overall score,58,Low income,840,38.5,6.733401891837359,GNI per capita (US$) is 840
2022,Sierra Leone,SLE,All Categories,Overall score,47,Low income,500,38.5,6.214608098422191,GNI per capita (US$) is 500
2022,Somalia,SOM,All Categories,Overall score,37,Low income,430,38.5,6.063785208687608,GNI per capita (US$) is 430
2022,South Sudan,SSD,All Categories,Overall score,8.5,Low income,1040,38.5,6.946975992135418,GNI per capita (US$) is 1040
2022,Syrian Arab Republic,SYR,All Categories,Overall score,21.6,Low income,760,38.5,6.633318433280377,GNI per capita (US$) is 760
2022,The Gambia,GMB,All Categories,Overall score,45.1,Low income,740,38.5,6.606650186198215,GNI per capita (US$) is 740
2022,Togo,TGO,All Categories,Overall score,42.7,Low income,960,38.5,6.866933284461882,GNI per capita (US$) is 960
2022,Uganda,UGA,All Categories,Overall score,45.6,Low income,760,38.5,6.633318433280377,GNI per capita (US$) is 760
2022,Yemen,YEM,All Categories,Overall score,35.3,Low income,840,38.5,6.733401891837359,GNI per capita (US$) is 840
2022,Zambia,ZMB,All Categories,Overall score,33.3,Low income,1030,38.5,6.937314081223682,GNI per capita (US$) is 1030
